functions calls cleaned
"isinstance, encoded_data.count, bytes, TypeError, all, all, .join, int, isinstance, isinstance, encoded_data.decode, .join, range, ValueError, len, .zfill, len, .zfill, bin, bin, B64_CHARSET.index, B64_CHARSET.index"
".join, _base10_to_85, chr"
"sum, enumerate, reversed"
".join, binary_data.ljust, .join, bytes, int, .zfill, len, map, data.decode, zip, _base10_to_85, len, bin, len, ord, iter"
"map, .join, int, bytes, len, data.decode, zip, .zfill, chr, .join, ord, int, map, len, bin, zip, iter, _base85_to_10, iter"
"len, len, len"
nan
nan
"generate_key, cipher_text, print, print, original_text"
nan
np.array
"np.where, np.concatenate"
nan
"message.lower, message.replace, message.replace, np.empty, range, first_step.reshape, range, len, self.letter_to_numbers, len, int, int, self.numbers_to_letter, len, len"
"message.lower, message.replace, np.empty, range, first_step.reshape, range, len, self.letter_to_numbers, len, int, int, self.numbers_to_letter, len, len"
"range, len, print, string.ascii_uppercase.find, len"
"input, message.upper, decrypt"
"len, alpha.index"
encrypt
"range, decrypt, len"
"gcd_by_iterative, ValueError"
"range, min, ciphertext.lower, len, chr, range, letter.lower, len, .upper, .count, letter.lower, decrypted_with_shift.count, alphabet_letters.index, letter.isupper, letter.lower, decrypted_with_shift.lower"
nan
"enumerate, ValueError, range, pow"
"miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin, miller_rabin"
"range, range, pow, li.append"
nan
"int, ValueError, hexlify, urandom"
hex
"pow, hex"
pow
"int, pow, .hexdigest, self.is_valid_public_key, ValueError, sha256, .encode, str"
pow
"int, int, pow, .hexdigest, DiffieHellman.is_valid_public_key_static, ValueError, sha256, .encode, str"
"print, random.randrange, pow, pow"
"print, rabin_miller.generate_large_prime, primitive_root, random.randrange, cryptomath.find_mod_inverse, pow"
"generate_key, print, print, os.path.exists, os.path.exists, print, print, sys.exit, open, fo.write, open, fo.write"
"print, make_key_files, print"
"_plugboard, Exception, ValueError, ValueError, ValueError, len, len, len, len, set"
"pbstring.replace, set, range, isinstance, TypeError, Exception, Exception, len, type, len, Exception, tmppbl.add, len"
"text.upper, _validator, .join, plugb.upper, result.append, abc.index, abc.index, abc.index, len, len, len, len, len, len, rotor3.index, rotor2.index, rotor1.index"
".join, MORSE_CODE_DICT.get, letter.upper"
"encode_to_morse, .join, .join, key.upper, sorted, set, len, zip, range, len"
".join, dict, .join, .strip, key.upper, sorted, zip, set, inverse_fractionated_morse_dict.get, .join, morse_code.split"
"len, len, text.upper, enumerate, int, ascii_uppercase.index"
nan
"int, print, range, HillCipher, print, input, input, hill_matrix.append, np.array, input, print, print, int, hc.encrypt, input, print, print, .split, hc.decrypt, input"
"self.modulus, self.check_determinant"
self.key_string.index
int
"round, len, np.linalg.det, greatest_common_divisor, ValueError, len, len"
".join, chars.append, text.upper, len"
"self.process_text, range, text.upper, .join, self.replace_letters, np.array, .T.tolist, len, self.replace_digits, self.modulus, self.encrypt_key.dot"
"round, range, self.to_int, np.linalg.det, len, np.linalg.inv, self.modulus, len, np.linalg.det, len"
"self.make_decrypt_key, self.process_text, range, text.upper, .join, self.replace_letters, np.array, .T.tolist, len, self.replace_digits, self.modulus, decrypt_key.dot"
"keyword.upper, plaintext.upper, set, len, range, .join, print, unique_chars.append, range, mapping.get, len"
"symbol.upper, chars_a.find, symbol.isupper, symbol.upper, .upper, .lower"
translate_message
translate_message
"print, encrypt_message, decrypt_message"
".join, message.upper"
".join, message.split"
"print, encrypt, print, decrypt, print"
nan
"ord, random.randint, cipher.append, key.append"
"range, .join, len, int, plain.append, chr"
"random.choice, range"
"list, random.shuffle, range"
"message.upper, len, range, generate_valid_block_size, generate_permutation_key, .join"
"len, range, len, enumerate, .join"
"encrypt, decrypt, print"
"iter, tuple, itertools.islice"
".join, range, len, len, c.upper, len"
"key.upper, table.append, table.append"
"generate_table, prepare_input, chunker, divmod, divmod, table.index, table.index"
"generate_table, chunker, divmod, divmod, table.index, table.index"
nan
np.array
"np.where, np.concatenate"
nan
"message.lower, message.replace, range, len, self.letter_to_numbers, str, str"
"message.replace, range, int, self.numbers_to_letter, len, int, int"
key.upper
"generate_table, words.upper, get_opponent, len"
encrypt
.index
"get_position, char.upper"
"range, random.randrange, pow"
rabin_miller
"random.randrange, is_prime_low_num"
"enumerate, .join, ValueError, min, .append, .join, range, len"
"range, range, ValueError, len, min, .append, grid.append, len, len, min, .pop, range, list, len"
"range, len, decrypt"
"chr, chr, ord, ord, ord, ord, ord, ord"
"input, dencrypt, print, dencrypt, print"
"message.encode, range, len, range, block_ints.append, min, len"
".join, range, message.extend, block_message.insert, len, chr"
"get_blocks_from_text, encrypted_blocks.append, pow"
"get_text_from_blocks, decrypted_blocks.append, pow"
"content.split, open, fo.read, int, int, int"
"read_key_file, .join, sys.exit, str, open, fo.write, encrypt_message, len"
"read_key_file, content.split, int, int, encrypted_message.split, decrypt_message, open, fo.read, sys.exit, encrypted_blocks.append, int"
"input, .startswith, .startswith, input, print, encrypt_and_write_to_file, print, print, response.lower, os.path.exists, rkg.make_key_files, print, read_from_file_and_decrypt, print, print, print, response.lower, open, dec.write"
"sorted, random.randint, math.gcd"
"print, make_key_files, print"
"rabin_miller.generate_large_prime, rabin_miller.generate_large_prime, cryptomath_module.find_mod_inverse, random.randrange, gcd_by_iterative"
"generate_key, print, print, os.path.exists, os.path.exists, print, print, sys.exit, open, out_file.write, open, out_file.write"
".upper, .upper, len, ord, enumerate, .join, ciphertext.append, plaintext.replace, key.replace, ord, ord, chr"
".upper, .upper, len, ord, enumerate, .join, plaintext.append, ciphertext.replace, key.replace, ord, ord, chr"
nan
nan
"ShuffledShiftCipher, cip1.decrypt, cip1.encrypt"
"self.__make_key_list, self.__make_shift_key, self.__passcode_creator"
.join
"range, len"
"random.choice, range, random.randint"
"sorted, set, temp_list.extend, keys_l.extend, temp_list.clear"
"sum, self.__neg_pos, len, ord"
"self.__key_list.index, len"
"self.__key_list.index, len"
ch.isalpha
"remove_duplicates, len, range, chr, key.upper, len, range, enumerate"
".join, cipher_map.get, message.upper"
".join, cipher_map.items, rev_cipher_map.get, message.upper"
".strip, .strip, .lower, create_cipher_map, print, func, input, input, KeyError, .strip, input"
"input, input, check_valid_key, .startswith, print, encrypt_message, .startswith, resp.lower, decrypt_message, resp.lower, mode.title"
"list, list, key_list.sort, letters_list.sort, sys.exit"
translate_message
translate_message
"symbol.upper, chars_a.find, symbol.isupper, symbol.upper, .upper, .lower"
"list, random.shuffle, .join"
"input, int, input, .startswith, print, input, encrypt_message, .startswith, mode.lower, decrypt_message, mode.lower, len"
"range, .join, len"
"math.ceil, .join, len, len"
"int, input, os.path.exists, time.time, .startswith, round, print, input, os.path.exists, print, sys.exit, print, input, trans_cipher.encrypt_message, .startswith, open, output_obj.write, .startswith, sys.exit, mode.lower, open, f.read, trans_cipher.decrypt_message, time.time, mode.lower, open, f.read, response.lower"
nan
".join, len, len, result.append"
".upper, .upper, any, dict, len, KeyError, ValueError, zip, alphabet.replace, message.replace, TEST_CHARACTER_TO_NUMBER.values, character_to_number.items"
"__prepare, range, range, __encrypt_part, len, len"
"__prepare, range, .join, len, __decrypt_part, range, len, decrypted_numeric.append"
"range, len, chr, ord, ord, len"
"range, len, chr, ord, ord, len"
"input, input, input, .startswith, print, print, encrypt_message, .startswith, mode.lower, decrypt_message, mode.lower, mode.title"
translate_message
translate_message
"key.upper, .join, LETTERS.find, symbol.upper, len, symbol.isupper, translated.append, LETTERS.find, translated.append, symbol.islower, len, LETTERS.find, translated.append, .lower"
nan
nan
"isinstance, isinstance, chr, ord"
"isinstance, isinstance, chr, ord"
"isinstance, isinstance, chr, ord"
"isinstance, isinstance, chr, ord"
"isinstance, isinstance, open, open, fout.write, self.encrypt_string"
"isinstance, isinstance, open, open, fout.write, self.decrypt_string"
"get_dataset, print, update_image_and_anno, enumerate, random_chars, cv2.imwrite, print, .rsplit, annos_list.append, open, outfile.write, .join, len, .split"
"glob.glob, os.path.join, os.path.join, img_paths.append, labels.append, .rsplit, open, in_file.readlines, .split, boxes.append, obj_list.rstrip, int, float, float, float, float, label_file.split"
"range, len, path_list.append, cv2.imread, new_annos_lists.append, new_imgs_list.append, cv2.flip, new_annos.append, cv2.flip, new_annos.append"
".join, random.choice, range"
"float, np.sqrt, .mean"
"normalized.astype, np.min, np.max, np.min"
"np.max, np.min, np.min"
".astype, np.dot"
np.where
"np.zeros, np.pad, range, np.ones, range, apply"
"transform, np.ones, transform"
"transform, np.ones, transform"
"image_gray.copy, image_gray.copy"
"np.zeros, range, np.sum, range, np.max, np.max"
"np.multiply, np.subtract, np.max, np.power, np.power, np.abs, correlation.sum, energy.sum, contrast.sum, dissimilarity.sum, inverse_difference.sum, homogeneity.sum, entropy.sum, np.abs, np.power, np.log"
"np.array, np.concatenate, haralick_descriptors, matrix_concurrency"
"float, np.sqrt, np.sum, np.square"
"np.array, .tolist, list, enum_distances.sort, enumerate, euclidean, normalize_array"
nan
ValueError
str
"cv2.imread, img.copy, cv2.cvtColor, np.gradient, range, range, .sum, .sum, .sum, corner_list.append, color_img.itemset, color_img.itemset, color_img.itemset"
"np.stack, np.stack, .astype, np.meshgrid, np.arange, np.arange, np.round, np.array"
"np.zeros_like, np.zeros_like, np.array, range, np.array, np.array, np.array, warp, convolve, convolve, convolve, convolve, convolve, convolve, convolve, convolve"
"np.zeros_like, enumerate"
"image.load, range, range, range, range"
"get_dataset, range, random.sample, update_image_and_anno, random_chars, cv2.imwrite, print, range, .rsplit, annos_list.append, open, outfile.write, len, .join, path.split"
"glob.glob, os.path.join, os.path.join, img_paths.append, labels.append, .rsplit, open, in_file.readlines, .split, boxes.append, float, float, float, float, obj_list.rstrip, float, float, float, float, int, label_file.split"
"np.zeros, int, int, enumerate, path_list.append, cv2.imread, random.random, random.random, cv2.resize, new_anno.append, cv2.resize, new_anno.append, cv2.resize, cv2.resize, new_anno.append, new_anno.append"
".join, random.choice, range"
"np.array, np.zeros, ValueError, np.max"
"np.array, np.zeros, ValueError, int, np.average"
".strip, .strip, UNIT_SYMBOL.get, UNIT_SYMBOL.get, ValueError, ValueError, pow, from_type.lower, to_type.lower, .join, .join"
".strip, ValueError, all, ValueError, str, int"
".strip, range, ValueError, all, ValueError, len, hexadecimal.append, .join, str, len, divmod, len"
"all, ValueError, ValueError, enumerate, str, len, range, int, len, int"
nan
nan
"divmod, ValueError, ValueError"
".join, word_groups.append, NumberingSystem.max_value, ValueError, divmod, word_groups.append, system.upper, word_groups.append, convert_small_number, convert_number, convert_small_number"
"system.upper, ValueError"
"isinstance, isinstance, isinstance, TypeError, ValueError, TypeError, TypeError, ValueError, ValueError, divmod, str, str, str, str, str"
"isinstance, isinstance, TypeError, TypeError, binary.insert, .join, .join, str, str"
"int, divmod, str, decimal_to_binary_recursive_helper, str"
".strip, number.lstrip, ValueError, number.startswith, number.isnumeric, ValueError, str, decimal_to_binary_recursive_helper, int"
"isinstance, int, int, divmod"
"math.floor, int, math.floor, math.pow"
"print, print, print, print, print, print, print, print, print, print, print, decimal_to_octal, decimal_to_octal, decimal_to_octal, decimal_to_octal, decimal_to_octal"
"ValueError, .join"
"column_title.isupper, len, pow, ord"
".lower, ValueError, all, ValueError, hex_string.strip"
"hex_num.strip, int, ValueError, int, ValueError, str"
"int, len, ValueError, ipv4_address.split, ValueError, int"
"int, .join, ipv4_address.split, int"
"range, .join, ValueError, ip_parts.append, reversed, str"
nan
".rstrip, TYPE_CONVERSION.get, .rstrip, TYPE_CONVERSION.get, ValueError, ValueError, from_type.lower, to_type.lower, .join, .join"
"round, float"
"round, float"
"round, float"
"round, float"
"ValueError, int, range, ValueError, str"
".strip, ValueError, ValueError, str, oct_string.isdigit, all, int, int"
"octal.startswith, any, isinstance, TypeError, ValueError, ValueError, int"
nan
nan
"isinstance, isinstance, known_prefix.lower, unknown_prefix.lower"
"isinstance, isinstance, known_prefix.lower, unknown_prefix.lower"
nan
nan
"prefixes.items, str, SIUnit.get_positive, SIUnit.get_negative"
str
nan
nan
nan
"ValueError, ValueError, .join, .join"
"round, round, math.sqrt, math.degrees, math.atan2"
"round, round, round, round, ValueError, ValueError, max, isinstance, isinstance, isinstance, type, type, type"
"Exception, Exception, Exception, round, round, round, abs, round, round, round, round, round, round, round, round, round, round, round, round, round, round, round"
"max, Exception, Exception, Exception, min"
"abs, abs, abs"
"len, len"
".join, divmod, result.append"
"round, ValueError, .join"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"round, float"
"unit_from.lower, unit_to.lower, round, ValueError, ValueError, isinstance, .join"
nan
"ValueError, ValueError, .join, .join"
"ValueError, .join"
nan
"isinstance, TypeError, range, len"
"all_rotations, rotations.sort, isinstance, TypeError, ValueError, .join, rotations.index"
"range, isinstance, TypeError, ValueError, int, ValueError, len, ValueError, len, len, range, ordered_rotations.sort, TypeError, len"
nan
"sorted, len, self.compress_coordinates, len"
nan
self.coordinate_map.get
len
nan
nan
"sorted, open, f.read, Letter, chars.items"
"list, len, response.pop, response.pop, TreeNode, response.append, response.sort"
"isinstance, traverse_tree, traverse_tree"
"parse_file, build_tree, print, print, open, traverse_tree, letter.bitstring.items, f.read, print"
nan
nan
nan
"open, binary_file.read, print, sys.exit"
"lexicon.pop, .is_integer, lexicon.items, bin, math.log2"
"len, range, len, add_key_to_lexicon"
"os.path.getsize, len, bin"
"open, print, sys.exit, result_byte_array.append, opened_file.write, range, len, .to_bytes, len, int, len"
"read_file_binary, compress_data, add_file_length, write_file_binary"
"open, binary_file.read, print, sys.exit"
"len, range, len, .is_integer, list, math.log2, lexicon.pop, bin"
"open, print, sys.exit, result_byte_array.append, opened_file.write, range, len, .to_bytes, len, int, len"
nan
"read_file_binary, remove_prefix, decompress_data, write_file_binary"
nan
nan
nan
nan
"self._find_encoding_token, output.append, len"
range
"enumerate, Token, ValueError, Token, len, self._match_length_from_index"
self._match_length_from_index
"np.mean, math.log10, math.sqrt"
"os.path.dirname, cv2.imread, cv2.imread, cv2.imread, cv2.imread, print, print, print, print, os.path.realpath, os.path.join, os.path.join, os.path.join, os.path.join, peak_signal_to_noise_ratio, peak_signal_to_noise_ratio"
"range, len, encoded.append, len"
.join
"sum, enumerate"
"list, sorted, combinations, sorted, sum"
"enumerate, set, set_initialize.add, sorted, output_arr.append"
nan
"len, len, ValueError, ValueError"
nan
range
"isinstance, ValueError, ValueError, partition, len, len, len"
"sorted, len, ValueError, float, float, float"
"all, all, range, range, len, len"
"len, combinations"
"range, len, len, nums.pop, permute_recursive, result.extend, nums.append, nums.copy, perm.append"
"backtrack, output.append, range, len, len, backtrack"
"output.append, range, len, len, backtrack"
nan
"len, range"
"ValueError, ValueError, len"
sums.add
"isinstance, product_sum"
product_sum
"len, reverse, reverse, reverse"
nan
"len, enumerate, ValueError, int, log2, range, min, range"
"int, min, IndexError, log2, len"
nan
"all, all, print, len, len, len, len"
"dict.fromkeys, .items, grid_values, assign"
"dict, len, zip"
".replace, all, eliminate"
".replace, len, len, len, all, len, assign, eliminate"
".join, print, max, print, .join, print, len, .center"
"search, parse_grid"
nan
"all, min, some, search, len, len, assign, len, values.copy"
"zip, time.monotonic, solve, print, time.monotonic, display, print, solved, len, grid_values, display, time_solve, sum, max, sum, sum"
"all, set, unitsolved"
"open, .split, .strip, file.read"
"dict.fromkeys, shuffled, random_puzzle, assign, .join, random.choice, len, len, len, set, len"
"list, random.shuffle"
"time.monotonic, solve, time.monotonic, display, print, solved, grid_values, display"
set
nan
nan
node.get_height
nan
"print, node.get_left, node.set_left, ret.set_right, node.set_height, ret.set_height, node.get_data, ret.get_right, my_max, my_max, get_height, get_height, get_height, get_height, node.get_right, node.get_left, ret.get_right, ret.get_left"
"print, node.get_right, node.set_right, ret.set_left, node.set_height, ret.set_height, node.get_data, ret.get_left, my_max, my_max, get_height, get_height, get_height, get_height, node.get_right, node.get_left, ret.get_right, ret.get_left"
"node.get_left, node.set_left, right_rotation, left_rotation"
"node.get_right, node.set_right, left_rotation, right_rotation"
"node.set_height, MyNode, node.get_data, node.set_left, node.set_right, my_max, insert_node, node.get_left, insert_node, node.get_right, get_height, get_height, node.get_left, get_height, get_height, left_child.get_data, right_rotation, lr_rotation, node.get_right, get_height, get_height, right_child.get_data, rl_rotation, left_rotation, node.get_right, node.get_left, node.get_left, node.get_right, node.get_right, node.get_left"
"root.get_data, root.get_right"
"root.get_data, root.get_left"
"root.get_left, root.get_right, root.get_left, root.get_right, root.set_height, root.get_data, my_max, get_left_most, root.set_data, root.set_right, root.get_data, get_height, get_height, get_height, get_height, left_rotation, rl_rotation, get_height, get_height, del_node, print, root.set_left, root.set_right, right_child.get_right, right_child.get_left, get_height, get_height, get_height, get_height, right_rotation, lr_rotation, root.get_right, root.get_left, del_node, del_node, left_child.get_left, left_child.get_right"
nan
doctest.testmod
nan
nan
self.data.append
nan
nan
"print, print, print"
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
get_height
"print, insert_node, str"
"print, del_node, print, str"
"MyQueue, q.push, self.get_height, q.is_empty, q.pop, range, int, q.push, q.push, str, q.push, q.push, math.pow, node.get_data, node.get_left, node.get_right, math.pow"
nan
nan
nan
sum
"self.left.is_full, self.right.is_full"
iter
len
"BinaryTree, Node, Node, Node"
"BinaryTree, Node, Node, Node, Node, Node, Node, Node"
self._depth
"max, self._depth, self._depth"
self.root.is_full
nan
nan
"inorder, inorder"
"postorder, postorder"
nan
"pformat, str"
bool
bool
nan
str
nan
nan
"Node, self.empty"
self.__insert
"self.empty, IndexError"
self.empty
self.empty
"self.search, ValueError, self.__reassign_nodes, self.__reassign_nodes, self.__reassign_nodes, self.get_max, self.remove"
"self.preorder_traverse, self.preorder_traverse"
"self.preorder_traverse, traversal_function"
"self.inorder, arr.append, self.inorder"
self.inorder
nan
nan
nan
"BinarySearchTree, t.put, t.put, t.put, t.put, t.put, t.put, t.put, t.put, t.put, t.put, print, print, print, print, print, print, print, print, print, print, print, t.remove, t.remove, t.remove, t.remove, t.remove, t.remove, print, print, print, print, t.exists, t.exists, t.exists, t.exists, t.get_max_label, t.get_min_label, t.get_max_label, t.get_min_label, t.inorder_traversal, t.preorder_traversal, t.inorder_traversal, t.preorder_traversal"
nan
nan
nan
nan
self._put
"Node, self._put, self._put, ValueError"
self._search
"ValueError, self._search, self._search"
"self.search, self._get_lowest_node, self._reassign_nodes, self._reassign_nodes, self._reassign_nodes, self._reassign_nodes"
nan
"self._get_lowest_node, self._reassign_nodes"
self.search
ValueError
ValueError
self._inorder_traversal
"self._inorder_traversal, self._inorder_traversal"
self._preorder_traversal
"self._preorder_traversal, self._preorder_traversal"
"BinarySearchTree, t.put, t.put, t.put, t.put, t.put, t.put, t.put, t.put, t.put, t.put"
"BinarySearchTree, t.is_empty, t.put, t.put, t.put, t.put, t.put, pytest.raises, t.put"
"self._get_binary_search_tree, t.search, t.search, pytest.raises, t.search"
"self._get_binary_search_tree, t.remove, t.remove, t.remove, t.remove, t.remove"
"self._get_binary_search_tree, t.remove"
"self._get_binary_search_tree, t.empty"
"self._get_binary_search_tree, t.empty, t.is_empty, t.is_empty"
"self._get_binary_search_tree, t.exists, t.exists"
"self._get_binary_search_tree, t.empty, t.get_max_label, pytest.raises, t.get_max_label"
"self._get_binary_search_tree, t.empty, t.get_min_label, pytest.raises, t.get_min_label"
"self._get_binary_search_tree, t.inorder_traversal"
"self._get_binary_search_tree, t.preorder_traversal"
"binary_tree_mirror_dict, binary_tree_mirror_dict"
"dict, binary_tree_mirror_dict, ValueError, ValueError"
nan
nan
nan
nan
"self.depth_first_search, self.depth_first_search"
self.depth_first_search
nan
nan
nan
nan
"self.depth_first_search, self.depth_first_search"
"self.depth_first_search, self.path_sum, self.path_sum"
nan
"Node, Node, Node, Node, Node"
"preorder, preorder"
"postorder, postorder"
"inorder, inorder"
"reverse_inorder, reverse_inorder"
"max, height, height"
"deque, process_queue.popleft, process_queue.append, process_queue.append"
"populate_output, populate_output, populate_output"
